,Unnamed: 0,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color
60184,414379,3800,2006.0,toyota,camry,good,4 cylinders,gas,144978.0,clean,automatic,fwd,full-size,sedan,custom
60195,414432,5999,2008.0,nissan,altima,excellent,4 cylinders,gas,187070.0,clean,automatic,fwd,compact,sedan,green
60196,414433,6000,2010.0,toyota,camry,good,4 cylinders,gas,206876.0,clean,automatic,fwd,compact,sedan,white
60197,414434,43985,2017.0,gmc,sierra 1500,excellent,8 cylinders,gas,39196.0,clean,automatic,4wd,full-size,truck,black
60198,414435,43985,2018.0,ford,f-150,excellent,8 cylinders,gas,50259.0,clean,automatic,4wd,full-size,truck,black
60201,414438,38972,2017.0,gmc,sierra 1500,excellent,8 cylinders,gas,54023.0,clean,automatic,4wd,full-size,truck,black
60202,414439,29985,2017.0,chevrolet,silverado 1500,excellent,8 cylinders,gas,116986.0,clean,automatic,4wd,full-size,truck,custom
60204,414447,24950,2018.0,ford,mustang,excellent,4 cylinders,gas,24006.0,clean,automatic,rwd,mid-size,coupe,blue
60206,414454,1,2011.0,chevrolet,silverado,good,8 cylinders,gas,190000.0,clean,automatic,rwd,full-size,truck,black
60211,414490,0,2011.0,ford,f-150,excellent,8 cylinders,gas,174137.0,clean,automatic,4wd,full-size,pickup,brown
60225,414551,17000,2015.0,dodge,charger,excellent,6 cylinders,gas,84000.0,clean,automatic,rwd,full-size,sedan,red
60232,414603,6900,2013.0,toyota,camry,good,4 cylinders,gas,194151.0,clean,automatic,fwd,compact,sedan,white
60236,414678,19000,2018.0,toyota,camry,excellent,4 cylinders,gas,22300.0,clean,automatic,fwd,mid-size,sedan,blue
60238,414696,3100,2003.0,subaru,outback,good,4 cylinders,gas,162000.0,clean,manual,4wd,full-size,wagon,blue
60241,414708,12999,2017.0,toyota,camry,like new,4 cylinders,gas,89000.0,clean,automatic,fwd,full-size,sedan,red
60249,414755,2850,2006.0,ford,escape,good,4 cylinders,gas,230000.0,clean,automatic,fwd,mid-size,SUV,black
60253,414802,18985,2018.0,toyota,rav4,excellent,4 cylinders,gas,80677.0,clean,automatic,fwd,full-size,SUV,white
60254,414805,18985,2016.0,toyota,rav4,excellent,4 cylinders,gas,63678.0,clean,automatic,4wd,full-size,SUV,black
60255,414817,12300,2015.0,volkswagen,passat,excellent,4 cylinders,gas,44000.0,clean,automatic,fwd,mid-size,sedan,white
60256,414820,11500,2012.0,toyota,highlander,like new,6 cylinders,gas,161878.0,clean,automatic,fwd,full-size,SUV,brown
60258,414832,4600,2003.0,toyota,corolla,good,4 cylinders,gas,104000.0,clean,automatic,fwd,compact,sedan,silver
60260,414848,7900,2013.0,nissan,rogue,excellent,4 cylinders,gas,99400.0,clean,automatic,fwd,mid-size,SUV,grey
60261,414860,50000,2016.0,chevrolet,silverado 2500hd,like new,8 cylinders,diesel,80000.0,clean,automatic,4wd,full-size,truck,white
60265,414888,9987,2006.0,ford,f-150,excellent,8 cylinders,gas,119716.0,clean,automatic,4wd,full-size,truck,black
